,New York
519,-0.3504055582587853
520,-0.9004055582587966
521,-1.030405558258792
522,-1.200405558258808
523,-1.800405558258774
524,-2.200405558258808
525,-2.3904055582588057
526,-2.72040555825879
527,-2.8504055582587853
528,-2.130405558258815
529,-0.06040555825882166
530,2.0095944417412284
531,2.969594441741208
532,4.799594441741192
533,5.969594441741208
534,6.299594441741192
535,7.019594441741219
536,7.809594441741183
537,7.939594441741178
538,6.249594441741181
539,4.109594441741194
540,3.1895944417411783
541,2.8595944417411943
542,1.6095944417411943
543,0.16959444174119653
544,-1.2704055582588012
545,-1.9004055582587966
546,-3.0104055582588103
547,-3.3204055582588126
548,-3.460405558258799
549,-3.610405558258776
550,-3.530405558258792
551,-4.060405558258822
552,-1.620405558258824
553,2.0095944417412284
554,2.6095944417411943
555,3.459594441741217
556,4.409594441741206
557,5.119594441741185
558,4.0795944417412215
559,4.0895944417412124
560,3.3495944417412034
561,3.5995944417412034
562,3.0095944417412284
563,2.1895944417411783
564,1.8495944417412034
565,1.5995944417412034
566,1.3295944417412215
567,1.1495944417412147
568,1.219594441741208
569,1.1495944417412147
570,1.1495944417412147
571,1.1495944417412147
572,1.0795944417412215
573,1.0795944417412215
574,0.8795944417411761
575,0.9395944417411783
576,1.0095944417412284
577,1.3295944417412215
578,1.7495944417411806
579,2.1695944417411965
580,2.5795944417412215
581,3.0795944417412215
582,3.5895944417412124
583,3.52959444174121
584,3.389594441741224
585,2.7395944417411897
586,2.3495944417412034
587,1.8995944417412147
588,2.039594441741201
589,1.8295944417412215
590,1.459594441741217
591,1.459594441741217
592,1.3895944417412238
593,1.3295944417412215
594,1.1395944417412238
595,1.1895944417411783
596,0.9395944417411783
597,0.8095944417411829
598,0.4695944417412079
599,0.6795944417411874
600,1.199594441741226
601,1.5295944417412102
602,2.4395944417411783
603,3.2495944417411806
604,3.809594441741183
605,3.9395944417411783
606,4.259594441741228
607,4.189594441741178
608,4.369594441741185
609,4.109594441741194
610,3.77959444174121
611,3.469594441741208
612,3.3295944417412215
613,3.199594441741226
614,2.9395944417411783
615,2.559594441741183
616,2.3195944417412306
617,2.3195944417412306
618,1.8495944417412034
619,1.9895944417411897
620,2.1895944417411783
621,2.1895944417411783
622,2.1895944417411783
623,2.2495944417411806
624,2.369594441741185
625,2.9295944417411874
626,3.52959444174121
627,4.499594441741181
628,5.469594441741208
629,5.849594441741203
630,6.159594441741206
631,6.479594441741199
632,6.129594441741176
633,5.869594441741185
634,5.099594441741203
635,4.8395944417412124
636,4.77959444174121
637,4.639594441741224
638,4.639594441741224
639,4.269594441741219
640,3.9995944417411806
641,3.869594441741185
642,3.869594441741185
643,3.799594441741192
644,3.6695944417411965
645,3.539594441741201
646,3.289594441741201
647,3.289594441741201
648,3.8195944417412306
649,4.27959444174121
650,4.52959444174121
651,5.639594441741224
652,5.349594441741203
653,5.639594441741224
654,5.959594441741217
655,5.939594441741178
656,5.679594441741187
657,5.219594441741208
658,4.3395944417412124
659,3.549594441741192
660,3.27959444174121
661,2.7695944417412193
662,2.6895944417411783
663,2.5895944417412124
664,2.5795944417412215
665,2.4395944417411783
666,2.5095944417412284
667,2.379594441741176
668,1.9795944417411988
669,1.8495944417412034
670,1.449594441741226
671,1.4995944417411806
672,1.4395944417411783
673,1.199594441741226
674,1.2595944417412284
675,1.469594441741208
676,2.1095944417411943
677,2.1695944417411965
678,2.289594441741201
679,2.1595944417412056
680,1.8995944417412147
681,2.039594441741201
682,1.7695944417412193
